Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-Direction	Stimulation	Tradition	Universalism
		schüchternheit	zufriedenheit	wettbewerb		philosophie	streben	traditionell	weise
		serviert		wirbelsäule		plan	temperament	traditionen	weise
		sicherheit		wirtschaft		prinzipien	temperament	treu	weisheit
		strafe		wohlhabend		protest	trubel	tugend	willkommen
		struktur		wohlstand		prüfung	überraschend	unschuld	wohltätig
		system		zwingen		reflexion	überraschenderweise	ursprünge	zusammenarbeit
		übereinstimmung				regie	übung	verdammt	zusammenarbeit
		unangemessen				reifen	unbekannt	verdorben	
		ungeheuerlich				revolte	unberechenbar	verheiratet	
		unpassend				richtung	ungeduld	verwandte	
		untergeordnet				rückgrat	unregelmäßig	vorfahren	
		urteil				schafft	unsicher	vorsehung	
		verboten				schöpfung	unsicherheit	zeremonie	
		verfahren				schulbildung	vergnügungen	zeremonien	
		verletzen				selbstbewusst	versuch		
		verletzt				sich entwickelnd	versuche		
		vermeiden				skeptisch	versuchend		
		vermeiden				spekulation	versucht		
		vermieden				speziell	vielfalt		
		verordung				talent	vitalität		
		verpflichtet				talente	wagen		
		verpflichtet				taten	wagnis		
		verpflichtung				tätigkeit	widerspruch		
		verpflichtungen				trotz	zocken		
		verschreibung				überzeugung			
		vertrauen				unabhängig			
		vertrauenswürdig				unabhängigkeit			
		vertraut				unternehmen			
		vorschriften				unverwechselbar			
		zögern				vision			
		zurückhaltung				vorankommen			
		zurückhaltung				vorstellungskraft			
		zustimmung				wahl			
						wählen			
						willenskraft			
						wissen			
						wissen			
						wissenschaft			
						witz			
						ziel			
						ziel			
						ziele			
						zupfen			
						zweck			
