Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-Direction	Stimulation	Tradition	Universalism
produttivo	lealtà	impegnandosi	orgasmo	guida	precauzioni	i principi	innovativo	il cristianesimo	
professionale	madre	impegnato	ottimismo	i soldi		idea	instabile	il paradiso	l'equità
progressi compiuti	marito	impegni	partito	in piedi	prevenire	ignoranza	instabilità	innocenza	liberale
progresso	moglie	impegno	piacere	influente	privacy	ignorare	intensità	islam	liberali
promossa	necessità	imponente	piaceri	influenti	problemi	illuminazione	intensivo	istituzione	liberazione
promozione	nonna	in modo appropriato	piacevole	influenza	prudente	immaginazione	interessante	la bibbia	libertà
prontezza	nonni	inappropriato	più felice		pulito	imparare	invenzione	la fede	
qualificato	nutrimento	indicazioni	relax	interessi	rifugio	imparato	invenzioni	maometto	misericordia
qualità	nutrire	integrità	richiamo	lusinga	ritiro	impresa	irregolare	matrimoni	modifiche
raggiungere	onesto	istituzione	ricreazione	lusso	salute	in evoluzione	irregolari	matrimonio	natura
raggiunto	ospitalità	istruito	rilassamento	manipolazione	salvaguardare	inclinazione	isteria	messa	naturale
realizzare	padre	istruzione	rilassare	monopolio	salvezza	indipendente	la noia	missionario	pace
resa		legale	rilassati	ottenendo	scudo	indipendenza	le sfide	mistico	pacifica
ricompensa	partecipazione	legge	riposo	perseguimento	sicurezza	indirizzando	lotta	mito	potenziato
ricompense	perdonare	leggi	risate	più debole	sicuro	individualità	misterioso	mohammed	protegge
riconosce	perdono	legislazione	ristoro	più ricco	silenzio	individuo	motivazione	morale	proteggere
riconoscere	pietà	legittimo	scherzando	platino	silenzioso	ingegno	movimento	moralità	protetto
riconosciuto	premuroso	limitato	scherzo	posizione	sopravvivenza	ingegnosità	mozzafiato	moschea	protezione
risultati	prendersi cura di te	mainstream	scintillare	potente	sopravvivere	iniziativa	novità	musulmano	quota
sciolto	preoccupazione	mantenendo	seduzione	potenza	spavento	inteligente	opportunità	onnipotente	realizzazione
sconfitta	quartiere	misurare	sensazione	potenziale	stabile	intelletto	osare	onorare	riconoscendo
servizio, struttura	regalo	modestia	sensuale	potrebbe	stabilità	intellettuale	paranoico	origini	riconoscere
successi	relazione	modesto	sesso	predominanza	tutela	intelligente	passione	ortodosso	riconoscimento
successo	responsabile	motivo	sessualità	privilegio	violenza	intelligenza	più nuovo	parenti	sacrificio
superiore	responsabilità	necessario	sessualmente	profitti		intende	più recenti	patrimonio	saggezza
sviluppo	ringraziati	non appropriato	sete	profitto		intendere	progressivo	peccato	saggio
top	ringraziato	norme	sexy	proprietà		intenzione	radicale	predicazione	sapienza
valore	sensazione	obbedienza	sgradevole	prosperità		interesse	recentemente	pregare	serenità
vantaggio		obbedire	soddisfacente	proventi		intuizione	rischi	preghiera	significativo
vincere	simpatia	obbligato	soddisfazione			ispirato	rischio	profeta	significato
	simpatizzante	obbligo	spiacevole	rafforzato		ispirazione	rivoluzionario	protestante	sincerità
	sincero	oltraggioso	tempo libero	redditizio		istinto	romanzo	provvidenza	sleale
	sostegno	onestamente	tentazione	reddito		istruzione	scioccato	purezza	sociale
		ordini	umorismo	ricchezza		la libertà	sconosciuto	religione	società
	supporto	organizzazione	vacanza	ricchi		lezioni	scoperta	religioni	solidarietà
	tenerezza	pazienza	vacanze	ricco		libertà	scoperte	religioso	somiglianza
	trattamento	periodico		richiesta		logica	scoperto	rito	spiegazione
	tristezza	permettendo		richieste		maturo	scoprire	rituale	spirituale
	utile	politica		rinforzo		meditabondo	scoprite	rituali	tatto
	vicinanza	politiche		risorse		meditazione	senza precedenti	sacerdote	tollerante
	vicinato	prescrizione		salari		mente	sfida	sacro	tolleranza
	vicini di casa			scambi commerciali		obiettivi	sfidata	salvatore	tollerare
		procedura		stato		obiettivo	sfidato	santità	
		punizione		stipendio		opinione	sfide	santo	tollerato
		ragione		superiore		originale	sfondamento	scrupoli	tranquillo
		regola		superiorità		osservazione	sforzo	sermone	uguaglianza
		regolamento		supervisione		ossessionato	shock	sermoni	umanità
				sviare		ossessione	sorprendente	soggezione	unione
		regolarmente		trattando		parere del comitato	sorprendentemente	sposato	unità
		regole		umiliazione		passatempo	sperimentare	storico	unito
		requisiti		utilità		pensa	spingere	stupore	universale
		restringimento		vantaggio			spontaneo	teologia	vulnerabile
		restrittivo		vigore		pensare	stimolante	testo sacro	calmo
		restrizioni		vittoria		pensieri	stimolato	tradizionale	
		richiesto				pensiero	straordinario	tradizione	
		ripetitivo				piano	svolta	tradizioni	
		riserva				polemiche	temperamento	virtù	
		rispettati				premuroso	tensione		
		rispetto				principi	tentando		
		riverenza				progresso	tentativi		
		sentenza				protesta	tentativo		
		servito				ragionamento	tentato		
		sistema				recitazione	trambusto		
		somiglianza				riflessione	tumulti		
		struttura				rivendicazione	unico		
		subordinare				rivolta	varietà		
		timidezza				scegli	vitalità		
		tollerare				scegliere			
		ubbidienza				scelta			
		ufficiale				scettico			
		umile				scienza			
		umiltà				scoperta			
		unisono				scopo			
		vergogna							
		vietato				serietà			
		violare				sfida			
		violato				sforzi			
									
						sforzo			
						slancio			
						speciale			
						speculazione			
						spina dorsale			
						spirito			
						stimolante			
						strappare			
						studioso			
						sviluppare			
						talenti			
						talento			
						università			
						vanità			
						visione			
						vanità			
						visione			
