Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-Direction	Stimulation	Tradition	Universalism
разхлабени	приятелски	оторизиран	сексуално	покупка	стабилен	напредвам	опит	потекло	приемане
растеж	приятелски настроени	официално	сексуалност	покупки	стабилна	напредък	опити	потомци	приемете
резултати	приятелство	периодични	сензация	полза	стабилност	насочващ	осмелявам се	почитане	признаване
Спечелени	приятелю	по подходящ начин	смешен	по-слаба	Страх	наука	оспорван	праведност	природа
спечелено	прости	повтарящи се	смешни смешни	по-слабо	страх ме е.	научен	отегчен	православен	природата
способни	прошка	повтарящо се	смях	постъпления	Тихо	невежество	откривам	предци	равенство
способност	прощаващ	поддържащ	снизхождение	потенциал	тихо.	независим	откриване	пригодени	разбирам
стойност	разчитайте	поднесени	съблазняване	превъзходство	убежище	независимост	открити	провидение	разбиране
съвършенство	родители	подходящ	удобни	преследване	укриване	незачитане	открития	произход	разнообразен
съоръжение	семейства	подходящо	удовлетворение	привилегия	уплашен	неподчинение	очарователно	проклет	разнообразие
състезавам се	Семейство	подчинен	Удовлетвореност	придобивам	чист	обосновка	параноичен	проповед	реализация
умение	симпатизиращо	подчинявам се	удовлетворяващ	принудителен	чисти	образование	параноичен съм.	проповеди	свобода
Умения	симпатичен	поемане на ангажимент	удоволствие	принуждаване	щети	обсебен	плам	проповядване	свободи
успех	скръб	познати	удоволствия	приходи		определено	по-нова	пророк	синтез
успехи	спътник	политика	усещане	просперитет		определяне	предизвикан	протестанти	сливане
успешно	Спътници	политики	успокой се.	разубеждавам		оригинален	предизвикателен	религии	солидарност
шампион	съвет	поръчки	утеха	ресурси		оригинално	предизвикателства	религиозен	социална
	съпричастност	послушание	ухажване	ръб		остроумие	предизвикателство	религиозни	социално отношение
	съпруг	постене	фетиш	ръб, край		осъждане	приключение	религия	спокойствие
	съпруга	Правила	хумор	ръководство		осъзнаване	Приключения	ритуал	споразумение
	съседи	правило	чар	ръководя		откриване	пробив	ритуали	справедливо
	състрадание	право	чувствен	сила		откритие	прогресивен	роднини	справедливост
	състрадателен	причина	шега	силен		отличителен	промени	родословие	сътрудничество
	съчувствие	процедура	шегувам се	силен.		отражение	противоречие	светейшество	съюз
	топлина	разрешаващо	щастие	силни страни		песъчинки	проучване	свети	такт
	трябва	разрешение	щастлив	скъпо		план	радикален	свещена	толеранс
	тъга	регламенти	щастлив съм.	скъпо е.		подемайки	радикално	свещеник	толерантен
	увереност	регулация		слаб		помисли си.	разбърква се	святост	толерантна
	усещане	регулиране		слабост		помислих си.	разбъркване	Спасител	толерантност
	участие	редовно		слабости		посока	различни	страхопочитание	толерирам
	честен	резерв		собственост		прашец	различно	събрание	толериран
	чувство	резолюция		статус		преданост	Разнообразие	съвест	толериране
	щедрост	рецепта		статут		предназначение	разпъвам	теология	толерирани
		решение		стоящ		предчувствие	революционен	традиции	тълкуване
		рутинно		състезание		пренебрегване	революционер	традиционен	универсален
		самоличност		търговия		претендиращ	риск	традиционни	универсално
		сигурност		търгуващ		принципи	рискове	традиция	упълномощен
		система		търсене		прозрение	роман	угризения	уязвим
		скромен		укрепен		просветление	скука	фолклор	уязвимост
		скромни		унижение		протест	скучно ми е.	хора	честно
		скромност		управление		противоречие	смел	християни	човечеството
		служил е		упражнявам контрол		противоречия	смели	християнство	човечност
		смирен		фантазия		развиване	смелост	Христос	щедро
		смирена				развиват	спира дъха	церемонии	
		смирение				развиващ	спиращ дъха	церемония	
		спазвам				разглеждане	спонтанен	църква	
		спазване на изискванията				размисъл	спонтанна	църкви	
		спокойствие				размишление	стимулиран	чистота	
		споразумение				решение	стимулиране		
		срам				решителен	стимулиращо		
		срамежливост				решителност	страст		
		срамота.				свобода	страстен		
		стандарти				сериозност	страхливец		
		страхопочитание				сила на волята	стремящ		
		структура				скептичен	суета		
		субект				скептично	темперамент		
		сходство				спекулации	тръпка		
		съгласие				специален	уникален		
		съответствие				специални	упражнение		
		трябва да				спор	усилие		
		търпение				спорен	хазарт		
		уважаван				спорно	шок		
		уважение				способност	шокиран		
		указ				становище	шокиран.		
		указания				суета	шофиране		
		унисон				създава	ярост		
		упълномощен				създаване			
		учреждение				създаване на			
		учтив				създайте			
		учтивост				съзерцание			
		формално				талант			
		честно казано.				таланти			
		член на Правилника за дейността				творчески			
						творчество			
						убеждение			
						уверен			
						умен			
						умно е.			
						университет			
						уроци			
						усилие			
						усилия			
						уча			
						учен			
						учене			
						философия			
						хоби			
						цел			
						цели			
